niche,map_id,scenario,best_performance,combination
5000,1,4,0.39176675387127374,6
5000,2,4,0.7799237211234006,6
5000,3,4,0.7681033379346914,6
5000,4,4,0.6057483809488607,6
5000,5,4,0.6146027755357167,6
5000,6,4,1.085377657639107,6
5000,7,4,0.7819685699599837,6
5000,8,4,0.8568212785836229,6
5000,9,4,0.527415193944416,6
5000,10,4,1.1468625107944814,6
5000,11,4,0.7600706168229836,6
5000,12,4,0.42478380126194315,6
5000,13,4,1.0167443637337108,6
5000,14,4,1.102118539008434,6
5000,15,4,0.6231210546025885,6
5000,16,4,1.2129375918578948,6
5000,17,4,0.9010536943022175,6
5000,18,4,0.44511492797953817,6
5000,19,4,0.9630861719198763,6
5000,20,4,0.42241988469336433,6
5000,1,5,0.5602603996370127,1
5000,2,5,0.7383409033650652,1
5000,3,5,0.6591017902255204,1
5000,4,5,0.7167398056591335,1
5000,5,5,0.6188942731661801,1
5000,6,5,0.5768054393866062,1
5000,7,5,0.6787675526362507,1
5000,8,5,1.0156800980172793,1
5000,9,5,0.7780789978550239,1
5000,10,5,1.2554065034128812,1
5000,11,5,0.597675937104172,1
5000,12,5,0.44427248246643763,1
5000,13,5,0.4871618121204917,1
5000,14,5,0.4758413400260432,1
5000,15,5,0.5290738993859323,1
5000,16,5,0.7341732227290161,1
5000,17,5,0.5832823502176068,1
5000,18,5,0.532406156957906,1
5000,19,5,0.6055895192380916,1
5000,20,5,0.6171581986554852,1
5000,1,5,2.431163146678674,2
5000,2,5,2.4833621907322674,2
5000,3,5,1.4082078311985562,2
5000,4,5,2.0581498550309862,2
5000,5,5,2.3064841314746167,2
5000,6,5,2.0811786495316458,2
5000,7,5,1.960564094443106,2
5000,8,5,1.966490474995684,2
5000,9,5,2.2520293595549585,2
5000,10,5,2.46244126969006,2
5000,11,5,2.5903561284250993,2
5000,12,5,1.3482934313353958,2
5000,13,5,2.499800098185749,2
5000,14,5,1.9839448563259185,2
5000,15,5,2.477690766269686,2
5000,16,5,2.556228747389393,2
5000,17,5,2.2261969068723486,2
5000,18,5,1.988336074592683,2
5000,19,5,1.8959874574762559,2
5000,20,5,0.5215544458864987,2
5000,1,5,3.356612590370507,3
5000,2,5,2.4917749620636593,3
5000,3,5,2.9666013902716926,3
5000,4,5,2.5136606781993165,3
5000,5,5,2.803599104881984,3
5000,6,5,3.001068046600242,3
5000,7,5,1.936925766564424,3
5000,8,5,2.781032091190559,3
5000,9,5,2.9441516370846843,3
5000,10,5,2.5832277225660727,3
5000,11,5,1.7079252718572189,3
5000,12,5,2.2295731702916983,3
5000,13,5,2.981760741983758,3
5000,14,5,2.549927132895129,3
5000,15,5,2.722251602402254,3
5000,16,5,2.882469012057203,3
5000,17,5,2.306955950234008,3
5000,18,5,3.19020565597682,3
5000,19,5,2.778761153119773,3
